CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,10703,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,45,17,37.77777777777778,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,10704,TRANSPORT AND  STORAGE,III,2020,RANK AND FILE,LOCAL/CHAPTER,60,22,36.666666666666664,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,10705,"ARTS, ENTERTAINMENT AND RECREATION",III,2020,RANK AND FILE,LOCAL/CHAPTER,700,500,71.42857142857143,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,10706,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,NA,13,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,NA
0011,10707,"WATER SUPPLY; SEWERAGE, WATE MANAGEMENT AND REMEDIATION  ACTIVITIES",III,2020,RANK AND FILE,LOCAL/CHAPTER,NA,70,NA,Luzon,0011_All Waste,ALL WASTE SERVICES INC.,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","NAGKAKAISANG MANGGAGAWA NG ALL WASTE SERVICES, INC. - ALU",2021-01-01T00:00:00Z,2026-12-31T00:00:00Z,74,RANK AND FILE,2021,6,With CBA,1,1,1,1,RANK-AND-FILE,Local/Chapter,All others,Industry,NA
NA,10708,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,NA,200,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,NA
NA,10709,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,NA,80,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,NA
NA,10710,TRANSPORT AND  STORAGE,III,2020,RANK AND FILE,"INDEPENDENT
UNION",NA,97,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Independent,All others,Services,NA
NA,10711,MANUFACTURING,III,2020,RANK AND FILE,"INDEPENDENT
UNION",2500,429,17.16,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Independent,Manufacturing,Industry,Low density
NA,10712,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,30,12,40,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
